,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population
2816,Scott,Scott,Scott County,20171,KS,Kansas,38.4822,-100.9069,5128
2817,Garfield,Garfield,Garfield County,49017,UT,Utah,37.8549,-111.4432,5121
2818,Stewart,Stewart,Stewart County,13259,GA,Georgia,32.0785,-84.8352,5121
2819,Sheridan,Sheridan,Sheridan County,31161,NE,Nebraska,42.5048,-102.4089,5102
2820,Hamilton,Hamilton,Hamilton County,36041,NY,New York,43.6611,-74.4974,5090
2821,Beaver,Beaver,Beaver County,40007,OK,Oklahoma,36.7497,-100.4768,5071
2822,Pickett,Pickett,Pickett County,47137,TN,Tennessee,36.5584,-85.0749,5042
2823,Toole,Toole,Toole County,30101,MT,Montana,48.6554,-111.6956,5018
2824,Thayer,Thayer,Thayer County,31169,NE,Nebraska,40.1762,-97.5949,5006
2825,Dickey,Dickey,Dickey County,38021,ND,North Dakota,46.1102,-98.5047,5003
2826,Wheeler,Wheeler,Wheeler County,48483,TX,Texas,35.4012,-100.2698,4980
2827,Gallatin,Gallatin,Gallatin County,17059,IL,Illinois,37.7628,-88.2305,4967
2828,Phillips,Phillips,Phillips County,20147,KS,Kansas,39.7846,-99.347,4960
2829,Ouray,Ouray,Ouray County,8091,CO,Colorado,38.1555,-107.7693,4936
2830,Rooks,Rooks,Rooks County,20163,KS,Kansas,39.3502,-99.325,4925
2831,Musselshell,Musselshell,Musselshell County,30065,MT,Montana,46.4966,-108.3981,4924
2832,Scott,Scott,Scott County,17171,IL,Illinois,39.6441,-90.4747,4899
2833,Craig,Craig,Craig County,51045,VA,Virginia,37.4817,-80.2115,4898
2834,Custer,Custer,Custer County,8027,CO,Colorado,38.1087,-105.3675,4885
2836,Jim Hogg,Jim Hogg,Jim Hogg County,48247,TX,Texas,27.0434,-98.6973,4830
2837,Washington,Washington,Washington County,8121,CO,Colorado,39.971,-103.2013,4817
2838,Carlisle,Carlisle,Carlisle County,21039,KY,Kentucky,36.8532,-88.971,4782
2839,Calhoun,Calhoun,Calhoun County,5013,AR,Arkansas,33.5581,-92.503,4773
2840,Scotland,Scotland,Scotland County,29199,MO,Missouri,40.4526,-92.1471,4720
2841,Putnam,Putnam,Putnam County,29171,MO,Missouri,40.4789,-93.0162,4698
2842,Ringgold,Ringgold,Ringgold County,19159,IA,Iowa,40.7352,-94.244,4690
2843,Republic,Republic,Republic County,20157,KS,Kansas,39.8278,-97.6506,4686
2844,Mineral,Mineral,Mineral County,30061,MT,Montana,47.1472,-114.9983,4652
2845,Crane,Crane,Crane County,48103,TX,Texas,31.4286,-102.5156,4636
2846,Hyde,Hyde,Hyde County,37095,NC,North Carolina,35.5306,-76.2517,4636
2847,Furnas,Furnas,Furnas County,31065,NE,Nebraska,40.1764,-99.9123,4630
2848,Hot Springs,Hot Springs,Hot Springs County,56017,WY,Wyoming,43.719,-108.4421,4616
2849,Florence,Florence,Florence County,55037,WI,Wisconsin,45.8485,-88.3981,4574
2850,Oneida,Oneida,Oneida County,16071,ID,Idaho,42.195,-112.5394,4572
2851,Mineral,Mineral,Mineral County,32021,NV,Nevada,38.5386,-118.4349,4568
2852,Schley,Schley,Schley County,13249,GA,Georgia,32.2617,-84.3148,4565
2853,Morrill,Morrill,Morrill County,31123,NE,Nebraska,41.716,-103.0104,4562
2854,Cameron,Cameron,Cameron County,42023,PA,Pennsylvania,41.4367,-78.204,4536
2855,Lincoln,Lincoln,Lincoln County,32017,NV,Nevada,37.6433,-114.8775,4507
2856,Dewey,Dewey,Dewey County,40043,OK,Oklahoma,35.9876,-99.0079,4504
2857,Mills,Mills,Mills County,48333,TX,Texas,31.4952,-98.5954,4501
2858,Phillips,Phillips,Phillips County,8095,CO,Colorado,40.594,-102.3576,4493
