,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population
2051,Marquette,Marquette,Marquette County,55077,WI,Wisconsin,5.538271276937927,2.259857960759078,15619
2052,Floyd,Floyd,Floyd County,19067,IA,Iowa,4.7785712769379245,-1.1304420392409185,15601
2053,Carroll,Carroll,Carroll County,17015,IL,Illinois,3.7873712769379253,1.7242579607590898,15594
2054,Jefferson,Jefferson,Jefferson County,13163,GA,Georgia,-5.226428723062071,9.240357960759084,15591
2055,Pemiscot,Pemiscot,Pemiscot County,29155,MO,Missouri,-2.069928723062077,1.8731579607590874,15555
2056,Clarke,Clarke,Clarke County,28023,MS,Mississippi,-6.2399287230620715,2.969157960759077,15553
2057,De Witt,De Witt,De Witt County,17039,IL,Illinois,1.8932712769379236,2.7544579607590833,15535
2058,Floyd,Floyd,Floyd County,51063,VA,Virginia,-1.3497287230620714,11.296057960759086,15532
2059,Barbour,Barbour,Barbour County,54001,WV,West Virginia,0.8516712769379282,11.655557960759083,15527
2060,Union,Union,Union County,12125,FL,Florida,-8.237428723062074,9.287157960759089,15524
2061,Gooding,Gooding,Gooding County,16047,ID,Idaho,4.689671276937922,-23.152942039240912,15520
2062,Brown,Brown,Brown County,18013,IN,Indiana,0.914871276937923,5.43115796075908,15513
2063,Marshall,Marshall,Marshall County,40095,OK,Oklahoma,-4.256828723062071,-5.1105420392409115,15494
2064,Vermillion,Vermillion,Vermillion County,18165,IN,Indiana,1.5724712769379252,4.194557960759084,15488
2065,Williamsburg,Williamsburg,Williamsburg City,51830,VA,Virginia,-1.0120287230620733,14.950957960759084,15486
2066,Clark,Clark,Clark County,17023,IL,Illinois,1.0522712769379226,3.870857960759082,15467
2067,Washington,Washington,Washington County,1129,AL,Alabama,-6.873728723062076,3.450657960759088,15434
2068,Redwood,Redwood,Redwood County,27127,MN,Minnesota,6.122371276937926,-3.5952420392409152,15428
2069,Moniteau,Moniteau,Moniteau County,29135,MO,Missouri,0.3514712769379287,-0.9245420392409187,15401
